Names,Geograpahy
Rainbow lake,Z5-NorthZone
High level,Z5-NorthZone
Fort vermilion,Z5-NorthZone
For Chipewyan,Z5-NorthZone
La Crete,Z5-NorthZone
Manning,Z5-NorthZone
Fort McKay,Z5-NorthZone
Fort McMurray,Z5-NorthZone
Worsley,Z5-NorthZone
Peace River,Z5-NorthZone
Grimshaw,Z5-NorthZone
Fairview,Z5-NorthZone
Spirit River,Z5-NorthZone
Hythe,Z5-NorthZone
Beaverlodge,Z5-NorthZone
Falher,Z5-NorthZone
McLennan,Z5-NorthZone
Valleyview,Z5-NorthZone
High Prairie,Z5-NorthZone
Grande Cache,Z5-NorthZone
Jasper,Z5-NorthZone
Hinton,Z5-NorthZone
Edson,Z5-NorthZone
Fox Creek,Z5-NorthZone
Whitecourt,Z5-NorthZone
Swan Hills,Z5-NorthZone
Barrhead,Z5-NorthZone
Onoway,Z5-NorthZone
Westlock,Z5-NorthZone
Redwater,Z5-NorthZone
Radway,Z5-NorthZone
Athabasca,Z5-NorthZone
Boyle,Z5-NorthZone
Wabasca,Z5-NorthZone
Smoky Lake,Z5-NorthZone
Lac la Biche,Z5-NorthZone
Vilna,Z5-NorthZone
Glendon,Z5-NorthZone
St paul,Z5-NorthZone
Elk Point,Z5-NorthZone
Bonnyville,Z5-NorthZone
Medley,Z5-NorthZone
Cold Lake,Z5-NorthZone
Janvier,Z5-NorthZone
Evansburg,Z4-EdmontonZone
Wabamun,Z4-EdmontonZone
Kapasiwin,Z4-EdmontonZone
Stony Plain,Z4-EdmontonZone
Warburg,Z4-EdmontonZone
Thorsby,Z4-EdmontonZone
Spruce Grove,Z4-EdmontonZone
Devon,Z4-EdmontonZone
Calmer,Z4-EdmontonZone
Villeneuve,Z4-EdmontonZone
St Albert,Z4-EdmontonZone
Morinville,Z4-EdmontonZone
Fort Saskatchewan,Z4-EdmontonZone
Sherwood Park,Z4-EdmontonZone
Beaumont,Z4-EdmontonZone
Leduc,Z4-EdmontonZone
Edmonton,Z4-EdmontonZone
Lamont,Z3-CentralZone
Two hills,Z3-CentralZone
Myrnam,Z3-CentralZone
Mundare,Z3-CentralZone
Vegreville,Z3-CentralZone
Tofield,Z3-CentralZone
Mannville,Z3-CentralZone
Vermilion,Z3-CentralZone
Islay,Z3-CentralZone
Kitscoty,Z3-CentralZone
Llyodminister,Z3-CentralZone
Viking,Z3-CentralZone
Rivercourse,Z3-CentralZone
Camrose,Z3-CentralZone
Drayton Valley,Z3-CentralZone
Breton,Z3-CentralZone
Winfield,Z3-CentralZone
Wetaskiwin,Z3-CentralZone
Daysland,Z3-CentralZone
Killam,Z3-CentralZone
Sedgewick,Z3-CentralZone
Wainwright,Z3-CentralZone
Rimbey,Z3-CentralZone
Ponoka,Z3-CentralZone
Bentley,Z3-CentralZone
Bashaw,Z3-CentralZone
Lacombe,Z3-CentralZone
Hardisty,Z3-CentralZone
Hughenden,Z3-CentralZone
Galahad,Z3-CentralZone
Rocky Mountain House,Z3-CentralZone
Eckville,Z3-CentralZone
Blackflads,Z3-CentralZone
Stettler,Z3-CentralZone
Castor,Z3-CentralZone
Provost,Z3-CentralZone
Consort,Z3-CentralZone
Sylvan Lake,Z3-CentralZone
Sundre,Z3-CentralZone
Olds,Z3-CentralZone
Elnora,Z3-CentralZone
Trochu,Z3-CentralZone
Innisfail,Z3-CentralZone
Red Deer,Z3-CentralZone
Three hills,Z3-CentralZone
Coronation,Z3-CentralZone
Hanna,Z3-CentralZone
Drumheller,Z3-CentralZone
Banff,Z2-CalgaryZone
Cremona,Z2-CalgaryZone
Didsbury,Z2-CalgaryZone
Airdrie,Z2-CalgaryZone
Cochrane,Z2-CalgaryZone
Canmore,Z2-CalgaryZone
Calgary,Z2-CalgaryZone
Chestermere,Z2-CalgaryZone
Strathmore,Z2-CalgaryZone
Gleichien,Z2-CalgaryZone
Okotoks,Z2-CalgaryZone
Black Diamond,Z2-CalgaryZone
Turner Valley,Z2-CalgaryZone
High River,Z2-CalgaryZone
Nanton,Z2-CalgaryZone
Stavely,Z2-CalgaryZone
Vulcan,Z2-CalgaryZone
Claresholm,Z2-CalgaryZone
Oyen,Z1-SouthZone
Bassano,Z1-SouthZone
Brooks,Z1-SouthZone
Redcliff,Z1-SouthZone
Vauxhaul,Z1-SouthZone
Medicine Hat,Z1-SouthZone
Irvine,Z1-SouthZone
Bow Island,Z1-SouthZone
Taber,Z1-SouthZone
Picture baffle,Z1-SouthZone
Coaldale,Z1-SouthZone
Lethbridge,Z1-SouthZone
Granum,Z1-SouthZone
Crowsnest Pass,Z1-SouthZone
Blairmore,Z1-SouthZone
Pincher Creek,Z1-SouthZone
Fort,Z1-SouthZone
MacLeod,Z1-SouthZone
Magrath,Z1-SouthZone
Cardston,Z1-SouthZone
Raymond,Z1-SouthZone
Milk River,Z1-SouthZone
